Date : 2023-02-25 18:07:38
Directory : d:\FancyFlame\cream-rs
Total : 68 files,  2664 codes, 75 comments, 548 blanks, all 3287 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| d:\FancyFlame\cream-rs\cream_macros\src\expr\conditional\state_if.rs                 | Rust     |         81 |         12 |         15 |        108 |
| d:\FancyFlame\cream-rs\cream_macros\src\expr\conditional\state_match.rs              | Rust     |         98 |          7 |         14 |        119 |
| d:\FancyFlame\cream-rs\cream_macros\src\expr\mod.rs                                  | Rust     |         81 |          0 |         15 |         96 |
| d:\FancyFlame\cream-rs\cream_macros\src\expr\repetitive\mod.rs                       | Rust     |          2 |          0 |          1 |          3 |
| d:\FancyFlame\cream-rs\cream_macros\src\expr\repetitive\state_for.rs                 | Rust     |         49 |          3 |          7 |         59 |
| d:\FancyFlame\cream-rs\cream_macros\src\expr\repetitive\state_while.rs               | Rust     |         48 |          0 |          7 |         55 |
| d:\FancyFlame\cream-rs\cream_macros\src\expr\state_block.rs                          | Rust     |         72 |          1 |          9 |         82 |
| d:\FancyFlame\cream-rs\cream_macros\src\expr\state_command.rs                        | Rust     |         68 |          0 |          9 |         77 |
| d:\FancyFlame\cream-rs\cream_macros\src\lib.rs                                       | Rust     |         39 |          1 |          6 |         46 |
| d:\FancyFlame\cream-rs\cream_macros\src\style\mod.rs                                 | Rust     |         45 |          0 |         14 |         59 |
| d:\FancyFlame\cream-rs\cream_macros\src\style\stmt.rs                                | Rust     |        131 |          0 |         18 |        149 |
| d:\FancyFlame\cream-rs\cream_macros\src\t.rs                                         | Rust     |         26 |          0 |          4 |         30 |
| d:\FancyFlame\cream-rs\cream_macros\src\uninit_type\mod.rs                           | Rust     |         63 |          0 |         12 |         75 |
| d:\FancyFlame\cream-rs\cream_macros\src\uninit_type\set.rs                           | Rust     |         60 |          0 |         11 |         71 |
| d:\FancyFlame\cream-rs\cream_winit\Cargo.toml                                        | TOML     |          5 |          1 |          3 |          9 |
| d:\FancyFlame\cream-rs\cream_winit\src\lib.rs                                        | Rust     |         12 |          0 |          3 |         15 |
| d:\FancyFlame\cream-rs\documentation\comp_mngr\summary.md                            | Markdown |         22 |          0 |          7 |         29 |
| d:\FancyFlame\cream-rs\documentation\element\computed.md                             | Markdown |         83 |          0 |         20 |        103 |
| d:\FancyFlame\cream-rs\documentation\element\responsible_data.md                     | Markdown |         25 |          0 |          7 |         32 |
| d:\FancyFlame\cream-rs\documentation\element\style.md                                | Markdown |         47 |          0 |         14 |         61 |
| d:\FancyFlame\cream-rs\documentation\element\summary.md                              | Markdown |         26 |          0 |         10 |         36 |
| d:\FancyFlame\cream-rs\documentation\index.md                                        | Markdown |         85 |          0 |         16 |        101 |
| d:\FancyFlame\cream-rs\documentation\renderer.md                                     | Markdown |         13 |          0 |          3 |         16 |
| d:\FancyFlame\cream-rs\documentation\summary.svg                                     | XML      |          1 |          0 |          0 |          1 |
| Total                                                                                |          |      2,664 |         75 |        548 |      3,287 |
+--------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
